[Header]
Data File Name	D:\助燃剂标准品检验\2#煤油\千分一2#煤-乙.qgd
Output Date	2018/4/17
Output Time	17:58:19

[MS Chromatogram]
m/z	1-1 TIC
Event Time(msec)	200
# of Points	8700
Start Time(min)	3.000
End Time(min)	31.997
Ret.Time	Absolute Intensity	Relative Intensity
6.493	456151	8.19
6.497	455895	8.18
6.500	453732	8.14
6.503	452235	8.12
6.507	453027	8.13
6.510	459474	8.25
6.513	470747	8.45
6.517	490109	8.80
6.520	519676	9.33
6.523	553693	9.94
6.527	588908	10.57
6.530	627645	11.27
6.533	670252	12.03
6.537	709623	12.74
6.540	738529	13.26
6.543	750622	13.47
6.547	747434	13.42
6.550	736317	13.22
6.553	718973	12.91
6.557	698224	12.53
6.560	679646	12.20
6.563	665862	11.95
6.567	655373	11.76
6.570	643887	11.56
6.573	631486	11.34
6.577	619076	11.11
6.580	603139	10.83
6.583	580655	10.42
6.587	553690	9.94
6.590	533168	9.57
6.593	522152	9.37
6.597	521469	9.36
6.600	531793	9.55
6.603	548947	9.85
6.607	567250	10.18
6.610	580846	10.43
6.613	586634	10.53
6.617	584647	10.49
6.620	572276	10.27
6.623	557196	10.00
6.627	553656	9.94
6.630	572195	10.27
6.633	629042	11.29
6.637	739443	13.27
6.640	903906	16.23
6.643	1111946	19.96
6.647	1346941	24.18
6.650	1587462	28.50
6.653	1809932	32.49
6.657	1979058	35.53
6.660	2064677	37.06
6.663	2059412	36.97
6.667	1970395	35.37
6.670	1812763	32.54
6.673	1617380	29.03
6.677	1426207	25.60
6.680	1265631	22.72
6.683	1140323	20.47
6.687	1045811	18.77
6.690	978716	17.57
6.693	930833	16.71
6.697	890100	15.98
6.700	846320	15.19
6.703	797597	14.32
6.707	750877	13.48
6.710	710574	12.76
6.713	674652	12.11
6.717	639452	11.48
6.720	605353	10.87
6.723	570982	10.25
6.727	532085	9.55
6.730	489455	8.79
6.733	448839	8.06
6.737	415606	7.46
6.740	392537	7.05
6.743	387491	6.96
6.747	402861	7.23
6.750	434169	7.79
6.753	475653	8.54
6.757	523841	9.40
6.760	578632	10.39
6.763	636218	11.42
6.767	689557	12.38
6.770	736003	13.21
6.773	767953	13.79
6.777	777270	13.95
6.780	767920	13.78
6.783	745503	13.38
6.787	709414	12.73
6.790	657358	11.80
6.793	600990	10.79
6.797	554108	9.95
6.800	515972	9.26
6.803	484175	8.69
6.807	461299	8.28
6.810	448479	8.05
6.813	441561	7.93
6.817	439413	7.89
6.820	442863	7.95
6.823	448672	8.05
6.827	454519	8.16
6.830	459820	8.25
6.833	464617	8.34
6.837	470784	8.45
6.840	480642	8.63
6.843	498476	8.95
6.847	523164	9.39
6.850	552632	9.92
6.853	592664	10.64
6.857	640106	11.49
6.860	689627	12.38
6.863	737265	13.23
6.867	766822	13.76
6.870	775245	13.92
6.873	775161	13.91
6.877	768384	13.79
6.880	757034	13.59
6.883	738848	13.26
6.887	716980	12.87
6.890	693973	12.46
6.893	666410	11.96
6.897	639919	11.49
6.900	620650	11.14
6.903	610922	10.97
6.907	616223	11.06
6.910	640569	11.50
6.913	683635	12.27
6.917	737553	13.24
6.920	799056	14.34
6.923	867040	15.56
6.927	945833	16.98
6.930	1031934	18.52
6.933	1120427	20.11
6.937	1216901	21.84
6.940	1311577	23.54
6.943	1380022	24.77
6.947	1417722	25.45
6.950	1426850	25.61
6.953	1399941	25.13
6.957	1337062	24.00
6.960	1245106	22.35
6.963	1134400	20.36
6.967	1012653	18.18
6.970	894199	16.05
6.973	789822	14.18
6.977	702145	12.60
6.980	635410	11.41
6.983	591476	10.62
6.987	564921	10.14
6.990	547434	9.83
6.993	537493	9.65
6.997	532875	9.57
7.000	527316	9.47
7.003	526678	9.45
7.007	532944	9.57
7.010	547671	9.83
